word	onset	duration
I	151.8225	0.1200
KNEW	151.9425	0.3800
COULD	152.3225	0.1800
LAST	152.5025	0.2200
FOREVER	152.7225	0.4700
THAT	153.1925	0.2000
TO	153.3925	0.0900
ME	153.4825	0.2000
IS	153.6825	0.3100
A	153.9925	0.1100
BREAKUP	154.1025	0.7100
YOU	154.9525	0.1300
THINK	155.0825	0.2200
YOU'RE	155.3025	0.0900
GOING	155.3925	0.1200
TO	155.5125	0.0600
GET	155.5725	0.1400
OUT	155.7125	0.1600
OF	155.8725	0.0700
THIS	155.9425	0.1700
ON	156.1125	0.1000
A	156.2125	0.0500
TECHNICALITY	156.2625	0.8100
LOOK	157.0725	0.0900
I'M	157.1625	0.1100
NOT	157.2725	0.1600
TRYING	157.4325	0.3700
TO	157.8025	0.1000
GET	157.9025	0.1500
OUT	158.0525	0.2800
OF	158.3325	0.1300
ANYTHING	158.4725	0.6200
OKAY	159.0925	0.4400
I	159.5325	0.2100
THOUGHT	159.7425	0.2400
OUR	159.9825	0.1100
RELATIONSHIP	160.0925	0.6100
WAS	160.7025	0.1900
DEAD	160.8925	0.5400
WELL	161.4525	0.4500
YOU	162.1225	0.3100
SURE	162.4325	0.3400
HAD	162.7725	0.1700
A	162.9425	0.1000
HELL	163.0425	0.2200
OF	163.2625	0.1200
A	163.3825	0.0700
TIME	163.4525	0.3200
AT	163.7725	0.0900
THE	163.8625	0.0800
WAKE	163.9425	0.3700
YOU	164.3125	0.0900
KNOW	164.4025	0.0600
WHAT	164.6125	0.1500
I	164.7625	1.9900
DON'T	166.8125	0.6000
THINK	167.7025	0.2700
WE	167.9725	0.0800
SHOULD	168.0525	0.1300
LISTEN	168.1825	0.2300
TO	168.4125	0.0600
THIS	168.4725	0.1100
ANYMORE	168.5825	0.2400
WHAT	168.8225	0.1500
ARE	169.6525	0.0400
YOU	169.6925	0.1900
DOING	169.8825	0.3500
WE	170.5625	0.0600
CAN'T	170.6225	0.2700
GO	170.8925	0.1300
OUT	171.0225	0.1900
THERE	171.2125	0.3100
WHY	171.7425	0.1400
NOT	171.8825	0.5200
I'M	172.7725	0.1100
HUNGRY	172.8825	0.5100
