word	onset	duration
LOT	254.7625	0.2100
OF	254.9725	0.0600
STUFF	255.0325	0.3500
OH	255.3825	0.3100
I	255.6925	0.1800
SAW	255.8725	0.5000
A	256.3725	0.0300
LOT	256.4025	0.7000
OF	257.1025	0.2100
STUFF	257.3125	0.8500
YEAH	258.1625	1.5400
YOU	259.8225	0.1100
GET	260.2325	0.3900
A	260.7125	0.0300
LITTLE	260.7425	0.3700
BORED	261.1125	0.3600
A	261.4725	0.0400
LITTLE	261.5125	0.3900
YEAH	262.3225	0.9800
MADE	263.7425	0.8100
A	264.5525	0.1600
SNACK	264.7125	0.4600
YEAH	265.3625	0.1300
WHAT	265.4925	1.0300
WHAT'D	266.5225	1.1000
YOU	267.6225	0.0700
HAVE	267.6925	0.2700
JUST	268.3025	0.3500
A	268.6525	0.0300
SANDWICH	268.6825	0.5400
YOU	269.2925	0.0800
KNOW	269.5125	0.1400
TURKEY	269.6525	2.0100
A	272.0825	0.0300
LITTLE	272.2225	0.8300
MUSTARD	273.0525	0.6600
SOUNDS	273.7925	0.4600
GOOD	274.2525	0.1900
IT	274.4425	0.0600
REALLY	274.5025	0.4100
WAS	274.9125	0.6800
HEY	275.6725	4.6900
HEY	280.5225	0.1600
LET	281.6425	0.7100
ME	282.6525	0.1200
TELL	282.7725	0.1300
YOU	282.9025	0.0700
ABOUT	282.9725	0.2200
THIS	283.1925	0.2000
CHICK	283.3925	0.3000
I	283.6925	0.1000
SCORED	283.7925	0.3700
WITH	284.1625	0.1800
LAST	284.3425	0.4600
NIGHT	285.3225	1.5500
OH	286.8725	0.1700
NO	287.0425	0.1900
WAIT	287.2325	0.1700
A	287.4025	0.0300
MINUTE	287.4325	0.2600
THAT	288.0625	0.1700
WAS	288.2325	0.1400
YOU	288.3725	0.2600
HEY	288.6325	2.0300
CHECK	290.8125	0.2000
ME	291.0125	0.1000
OUT	291.1125	1.5000
I'M	292.7525	2.5200
A	295.2725	0.0300
SLUT	295.3025	0.9400
SO	296.2425	0.2300
OU	296.5525	0.1800
WANT	296.7325	0.3300
TO	297.0625	0.0800
DO	297.1425	0.1400
SOMETHING	297.2825	0.5300
TONIGHT	298.0625	0.2000
OH	298.2625	0.0500
I	298.3125	0.2500
CAN'T	298.5625	0.3400
DR	298.9025	0.2800
ROGER'S	299.1825	0.3000
COMING	299.4825	0.2000
OVER	299.6825	0.2000
AGAIN	299.8825	0.3100
OH	302.3625	0.1900
OH	303.5725	0.3000
RIGHT	303.9025	0.3400
RIGHT	304.6625	0.2200
BECAUSE	304.8825	0.3700
YOU'RE	305.2525	0.1800
SETILL	305.4325	0.4000
SEEING	305.8325	0.3400
HIM	306.1725	0.2800
AND	306.4525	0.2600
UH	306.7125	0.2500
HE'S	307.4525	0.1800
A	307.6325	0.0400
GOOD	307.6725	0.1600
GUY	307.8325	0.2000
I	308.0325	0.1600
MEAN	308.1925	0.2300
I	308.4225	0.0700
REMEMBER	308.4925	0.3100
A	308.8025	0.0400
TIME	308.8425	0.3200
ARE	309.2225	0.0300
YOU	309.2525	0.0600
OKAY	309.3125	0.5800
YEAH	309.8925	1.6300
TOTALY	311.5225	1.4000
TOTALLY	313.1425	1.0500
ARE	314.8225	0.3000
YOU	315.4925	0.6200
GREAT	316.6025	0.2700
IT'S	317.4425	0.1500
SO	317.6225	0.1900
AMAZING	317.8125	0.5400
I	318.3525	0.0400
MEAN	318.3925	0.1300
LAST	318.5225	0.1900
TIME	318.7125	0.1300
DR.	318.8425	0.2300
ROGER	319.0725	0.2100
CAME	319.2825	0.1900
OVER	319.4725	0.2500
I	320.1925	0.1400
WAS	320.3325	0.1700
SO	320.5025	0.6400
NERVOUS	321.1425	0.4400
BUT	321.9525	0.0900
THEN	322.0425	0.1400
AFTER	322.1825	0.2000
BEING	322.3825	0.2000
WITH	322.5825	0.1700
YOU	322.7525	0.1800
I'M	322.9325	0.1900
ALL	323.1225	0.0900
LIKE	323.2125	0.1800
CAN	323.7325	0.2200
THE	323.9525	0.0800
DOCTOR	324.0325	0.4800
SEE	324.5125	0.2500
ME	324.7625	0.1000
NOW	324.8625	0.4000
I'LL	325.3325	0.1100
BET	325.4725	1.0900
HE	326.7825	0.3800
CAN	327.1625	0.5600
YOU	327.7525	0.2000
KNOW	328.2625	0.1900
I	328.4525	0.2700
DON'T	328.7225	0.7200
HAVE	329.4425	0.3300
AN	329.7725	0.2100
APPOINTMENT	329.9825	0.5600
BUT	330.5425	0.6400
I	331.1825	1.9400
SURE	333.1225	0.1000
COULD	333.5625	0.8700
USE	334.9725	0.1000
A	335.7025	0.0500
PHYSICAL	336.1425	0.3400
ARE	336.4825	0.0300
YOU	336.5125	0.0600
SURE	336.5725	0.1800
YOU'RE	336.7525	0.2300
OKAY	336.9825	0.3800
OH	337.5625	0.0900
YEAH	337.6525	0.6700
DON'T	338.3225	0.2900
